original_genename,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,description_ITAG4.0,goterm,gene_id_versionless,ensembl_gene_id,description_ITAG3.0,athaliana_eg_homolog_ensembl_gene,athaliana_eg_homolog_associated_gene_name,external_gene_name,athaliana_eg_homolog_perc_id
mRNA:Solyc00g500021.1.1,108.3708667,1.900089262,0.354918086,5.353599434,8.62216E-08,0.000118783,Solyc00g500021.1,Cytochrome b559 subunit alpha (AHRD V3.3 *** S8D1L1_9LAMI),,Solyc00g500021,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500024.1.1,1855.064783,0.977613312,0.224019314,4.363968872,1.27724E-05,0.008084569,Solyc00g500024.1,Photosystem II CP47 reaction center protein (AHRD V3.3 *** A0A1U8QCF6_CAPAN),"GO:0009521,GO:0009767,GO:0016020,GO:0016168,GO:0019684",Solyc00g500024,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500039.1.1,11225.36888,1.232125472,0.21203759,5.810882261,6.21445E-09,1.11956E-05,Solyc00g500039.1,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE),"GO:0003735,GO:0005840,GO:0006412",Solyc00g500039,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500044.1.1,11104.87556,1.23570677,0.212266939,5.821475429,5.83304E-09,1.11956E-05,Solyc00g500044.1,"30S ribosomal protein S2, chloroplastic (AHRD V3.3 *** I6N946_DATST)","GO:0003735,GO:0005622,GO:0005840,GO:0006412",Solyc00g500044,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500054.1.1,577.4290323,1.215424531,0.257729918,4.715884514,2.40663E-06,0.001953801,Solyc00g500054.1,Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA),"GO:0009521,GO:0009767,GO:0016020,GO:0016168,GO:0019684",Solyc00g500054,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500055.1.1,1119.388516,1.290087869,0.247970348,5.202589259,1.96531E-07,0.000230138,Solyc00g500055.1,"30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA)",,Solyc00g500055,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500056.1.1,2101.880452,1.470765496,0.226220546,6.501467353,7.95403E-11,2.32854E-07,Solyc00g500056.1,DNA-directed RNA polymerase subunit alpha (AHRD V3.3 *-* A0A1U8QD90_CAPAN),"GO:0009522,GO:0009579,GO:0015979,GO:0016021",Solyc00g500056,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500068.1.1,108.4612994,1.901587845,0.357045373,5.325899708,1.00455E-07,0.000130703,Solyc00g500068.1,Cytochrome b559 subunit alpha (AHRD V3.3 *** S8D1L1_9LAMI),"GO:0009055,GO:0016020,GO:0016491",Solyc00g500068,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500071.1.1,1853.140931,0.982063286,0.223987152,4.384462583,1.16272E-05,0.00756417,Solyc00g500071.1,Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA),"GO:0009521,GO:0009767,GO:0016020,GO:0016168,GO:0019684",Solyc00g500071,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500083.1.1,11225.36888,1.232125472,0.21203759,5.810882261,6.21445E-09,1.11956E-05,Solyc00g500083.1,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE),"GO:0009523,GO:0015979,GO:0016020,GO:0042301,GO:0050821",Solyc00g500083,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500130.1.1,5007.384126,1.807986864,0.217870783,8.298436542,1.0549E-16,6.24148E-13,Solyc00g500130.1,Photosystem II protein .1,"GO:0009772,GO:0019684,GO:0045156",Solyc00g500130,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500136.1.1,577.6203392,1.214966202,0.257691196,4.714814565,2.41931E-06,0.001953801,Solyc00g500136.1,Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA),"GO:0009521,GO:0009767,GO:0016020,GO:0016168,GO:0019684",Solyc00g500136,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500137.1.1,1119.299504,1.290483694,0.247899802,5.205666493,1.93302E-07,0.000230138,Solyc00g500137.1,"30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA)",,Solyc00g500137,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500138.1.1,2101.880452,1.470765496,0.226220546,6.501467353,7.95403E-11,2.32854E-07,Solyc00g500138.1,"50S ribosomal protein L14, chloroplastic (AHRD V3.3 *** I6N992_DATST)","GO:0009522,GO:0009579,GO:0015979,GO:0016021",Solyc00g500138,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500144.1.1,228.6338916,0.910117809,0.230530392,3.947929817,7.88299E-05,0.037677477,Solyc00g500144.1,"30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA)",,Solyc00g500144,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500200.1.1,5007.473138,1.807871327,0.217889531,8.297192227,1.06601E-16,6.24148E-13,Solyc00g500200.1,Photosystem II protein .1,"GO:0009772,GO:0019684,GO:0045156",Solyc00g500200,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500206.1.1,577.4290323,1.215424531,0.257729918,4.715884514,2.40663E-06,0.001953801,Solyc00g500206.1,Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA),"GO:0009521,GO:0009767,GO:0016020,GO:0016168,GO:0019684",Solyc00g500206,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500207.1.1,1147.080062,1.286823926,0.251282069,5.121033621,3.03865E-07,0.000338882,Solyc00g500207.1,"30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA)",,Solyc00g500207,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500208.1.1,2101.880452,1.470765496,0.226220546,6.501467353,7.95403E-11,2.32854E-07,Solyc00g500208.1,Photosystem I P700 chlorophyll a apoprotein A2 (AHRD V3.3 *** I6N956_DATST),"GO:0009522,GO:0009579,GO:0015979,GO:0016021",Solyc00g500208,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500296.1.1,4988.879453,1.809176591,0.217342882,8.324066444,8.49959E-17,6.24148E-13,Solyc00g500296.1,Photosystem II protein .1,"GO:0009772,GO:0019684,GO:0045156",Solyc00g500296,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500301.1.1,11106.12315,1.235495867,0.212290524,5.819835219,5.89057E-09,1.11956E-05,Solyc00g500301.1,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE),,Solyc00g500301,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500325.1.1,11104.76088,1.235659311,0.212222189,5.822479336,5.7981E-09,1.11956E-05,Solyc00g500325.1,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE),,Solyc00g500325,NA,NA,NA,NA,NA,NA
mRNA:Solyc00g500329.1.1,5007.487153,1.808084323,0.217358138,8.318456988,8.91158E-17,6.24148E-13,Solyc00g500329.1,Photosystem II protein .1,"GO:0009772,GO:0019684,GO:0045156",Solyc00g500329,NA,NA,NA,NA,NA,NA
mRNA:Solyc01g081250.3.1,236.6290956,5.940317848,1.531190324,3.87954244,0.000104653,0.048058364,Solyc01g081250.3,Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN),GO:0005515,Solyc01g081250,Solyc01g081250.3,,,,,NA
mRNA:Solyc01g102770.1.1,378.6672006,1.111351105,0.217966284,5.09872941,3.41941E-07,0.000364012,Solyc01g102770.1,Photosystem II reaction center protein Z (AHRD V3.3 *** A0A1U8QD60_CAPAN),"GO:0009523,GO:0009539,GO:0015979,GO:0042549",Solyc01g102770,Solyc01g102770.1,Photosystem II reaction center protein Z [Source:UniProtKB/TrEMBL;Acc:A0A0C5CEB3],ATCG00300,PSBZ,psbZ,95.1613
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT3G04190,,,50
mRNA:Solyc01g102890.4.1,158.5886848,-2.088898155,0.38217158,-5.465864721,4.60656E-08,7.70611E-05,Solyc01g102890.4,Germin-like protein subfamily.1,GO:0045735,Solyc01g102890,Solyc01g102890.3,,AT3G04180,,,47.541
