gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G01430;552.4856929394857;0.27698571146925716;0.07367191473780574;3.759719188174136;1.7010418579237402e-4;0.011079648156662597;TBL25;Q84JH9;837247;"Mannan O-acetyltransferase 3 [Source:UniProtKB/TrEMBL;Acc:A0A346P850]";TBL25;UniProtKB Gene Name
AT1G01448;33.14260680506927;-0.6988899804552646;0.19628122107793333;-3.5606563715933417;3.699289340636099e-4;0.018834468020289832;NA;NA;NA;NA;NA;NA
AT1G01470;3308.921854639442;-0.29769872099350375;0.08982935106203126;-3.3140473294516983;9.195594051500279e-4;0.033565419315341544;LEA14;O03983;837071;"LSR3 [Source:UniProtKB/TrEMBL;Acc:A0A178W160]";LEA14;UniProtKB Gene Name
AT1G02610;432.15928382961016;-0.6565299086942105;0.0993770128972057;-6.606456458631097;3.936279691377239e-11;3.717619354521234e-8;;;837915;"RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HXK4]";;
AT1G02660;1972.0883555030841;-0.4078961630688704;0.12481513927857832;-3.268002306663103;0.0010830948290326565;0.03782779981696956;;F4HXL0;839544;"Phospholipase A1 PLIP2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4HXL0]";PLIP2;UniProtKB Gene Name
AT1G03220;1458.9918726164904;-0.34194923835765084;0.09452675550520998;-3.6174862506394163;2.9747812777209103e-4;0.016478194590871048;;;838517;"Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZVS4]";;
AT1G03610;644.5395985434775;-0.37958863395107567;0.07475904155739672;-5.077494655407588;3.824442614020174e-7;9.895876237839324e-5;;;838961;"Plant/protein (DUF789) [Source:UniProtKB/TrEMBL;Acc:Q8LF98]";;
AT1G03630;655.018890999418;0.3684707342568439;0.0885050912486687;4.1632716158844305;3.137198041383477e-5;0.0030080474012026646;POR C;O48741;839009;"Protochlorophyllide reductase C, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O48741]";PORC;UniProtKB Gene Name
AT1G03630;655.018890999418;0.3684707342568439;0.0885050912486687;4.1632716158844305;3.137198041383477e-5;0.0030080474012026646;POR C;;839009;"Protochlorophyllide reductase C, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O48741]";PORC;UniProtKB Gene Name
AT1G03730;193.8178892998218;-0.5113846268798494;0.1176097500899672;-4.348148231661565;1.3729180392358711e-5;0.001600805484143603;;;839106;"At1g03730 [Source:UniProtKB/TrEMBL;Acc:Q1ECK0]";;
AT1G04350;427.4816351533074;0.29670255577833093;0.08368242836023342;3.545577746633921;3.9175340382827665e-4;0.019422126102132065;;P93824;839542;"1-aminocyclopropane-1-carboxylate oxidase homolog 6 [Source:UniProtKB/Swiss-Prot;Acc:P93824]";;
AT1G04680;377.24463895053674;0.40015906814009844;0.1012228504793005;3.9532483648237973;7.709733779331404e-5;0.0058721436031367305;;Q940Q1;839452;"Pectate lyase [Source:UniProtKB/TrEMBL;Acc:A0A178W464]";;
AT1G05575;70.54750486317982;-0.63687168367864;0.1872665870382411;-3.4008826334224085;6.716865965601196e-4;0.027388175443132573;;;837061;"Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q8LC91]";;
AT1G05675;45.97611806980033;-0.8338993748689448;0.24598054420374096;-3.3901029756981185;6.986637415784515e-4;0.027960099465054816;;P0C7P7;10723139;"Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:A0A1W6AJW6]";UGT74E1;UniProtKB Gene Name
AT1G06430;871.4727247689807;0.2259621204217128;0.06609789573894372;3.4185977918897636;6.294469447567636e-4;0.02601668126807551;FTSH8;Q8W585;837154;"ATP-dependent zinc metalloprotease FTSH 8, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8W585]";FTSH8;UniProtKB Gene Name
AT1G06680;19427.956629278393;0.16141424413212827;0.05097050452248186;3.1668166843616845;0.0015411743712351613;0.04718191685293511;PSBP-1;Q42029;837178;"Oxygen-evolving enhancer protein 2-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42029]";PSBP1;UniProtKB Gene Name
AT1G06680;19427.956629278393;0.16141424413212827;0.05097050452248186;3.1668166843616845;0.0015411743712351613;0.04718191685293511;PSBP-1;;837178;"Oxygen-evolving enhancer protein 2-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42029]";PSBP1;UniProtKB Gene Name
AT1G07010;143.3356073457085;0.3772693338477046;0.09924186131548132;3.8015140873708315;1.4381456026132288e-4;0.009914281856847182;;Q8L774;837211;"Calcineurin-like metallo-phosphoesterase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HNW0]";;
AT1G07010;143.3356073457085;0.3772693338477046;0.09924186131548132;3.8015140873708315;1.4381456026132288e-4;0.009914281856847182;;;837211;"Calcineurin-like metallo-phosphoesterase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HNW0]";;
AT1G07040;561.8831961230286;-0.3230476836653078;0.08892343654440404;-3.6328744841523695;2.802813757003994e-4;0.01577318705914243;;;837215;"At1g07040 [Source:UniProtKB/TrEMBL;Acc:Q9LMJ7]";;
AT1G07135;1485.4775664391927;-0.351047364047957;0.10129541154152608;-3.4655801156802157;5.290888652098114e-4;0.02356440285362357;;;837224;"At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]";;
