original_genename;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;gene;description_ITAG4.0;goterm;gene_id_versionless;ensembl_gene_id;description_ITAG3.0;athaliana_eg_homolog_ensembl_gene;athaliana_eg_homolog_associated_gene_name;external_gene_name;athaliana_eg_homolog_perc_id
mRNA:Solyc00g500021.1.1;108.37086673481069;1.9000892622498031;0.35491808563578636;5.353599433644126;8.622161912091517e-8;1.1878295998893137e-4;Solyc00g500021.1;Cytochrome b559 subunit alpha (AHRD V3.3 *** S8D1L1_9LAMI);;Solyc00g500021;NA;NA;NA;NA;NA;NA
mRNA:Solyc00g500024.1.1;1855.0647834328852;0.977613311501446;0.22401931365063818;4.363968872014536;1.2772375934180111e-5;0.008084568766986438;Solyc00g500024.1;Photosystem II CP47 reaction center protein (AHRD V3.3 *** A0A1U8QCF6_CAPAN);GO:0009521,GO:0009767,GO:0016020,GO:0016168,GO:0019684;Solyc00g500024;NA;NA;NA;NA;NA;NA
mRNA:Solyc00g500039.1.1;11225.368877189087;1.2321254722785746;0.21203759031424393;5.810882261265751;6.214445950608979e-9;1.119556339717402e-5;Solyc00g500039.1;Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE);GO:0003735,GO:0005840,GO:0006412;Solyc00g500039;NA;NA;NA;NA;NA;NA
mRNA:Solyc00g500044.1.1;11104.875556356199;1.2357067699469844;0.2122669390439857;5.821475428591933;5.833038208016705e-9;1.119556339717402e-5;Solyc00g500044.1;30S ribosomal protein S2, chloroplastic (AHRD V3.3 *** I6N946_DATST);GO:0003735,GO:0005622,GO:0005840,GO:0006412;Solyc00g500044;NA;NA;NA;NA;NA;NA
mRNA:Solyc00g500054.1.1;577.4290323387781;1.2154245306277773;0.2577299183492303;4.715884513573808;2.406629211987768e-6;0.001953801200911754;Solyc00g500054.1;Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA);GO:0009521,GO:0009767,GO:0016020,GO:0016168,GO:0019684;Solyc00g500054;NA;NA;NA;NA;NA;NA
mRNA:Solyc00g500055.1.1;1119.3885164217825;1.2900878687933366;0.24797034794489217;5.202589259099802;1.9653091363102502e-7;2.3013769986193029e-4;Solyc00g500055.1;30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA);;Solyc00g500055;NA;NA;NA;NA;NA;NA
mRNA:Solyc00g500056.1.1;2101.8804519139926;1.4707654956872358;0.22622054618996462;6.501467353244683;7.95402997231858e-11;2.3285422743962644e-7;Solyc00g500056.1;DNA-directed RNA polymerase subunit alpha (AHRD V3.3 *-* A0A1U8QD90_CAPAN);GO:0009522,GO:0009579,GO:0015979,GO:0016021;Solyc00g500056;NA;NA;NA;NA;NA;NA
mRNA:Solyc00g500068.1.1;108.46129937905783;1.9015878454191322;0.35704537258399704;5.32589970752743;1.0045455043095797e-7;1.3070253172739086e-4;Solyc00g500068.1;Cytochrome b559 subunit alpha (AHRD V3.3 *** S8D1L1_9LAMI);GO:0009055,GO:0016020,GO:0016491;Solyc00g500068;NA;NA;NA;NA;NA;NA
mRNA:Solyc00g500071.1.1;1853.140931468139;0.9820632858650101;0.22398715172891906;4.384462583164388;1.1627246487517148e-5;0.0075641697982681;Solyc00g500071.1;Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA);GO:0009521,GO:0009767,GO:0016020,GO:0016168,GO:0019684;Solyc00g500071;NA;NA;NA;NA;NA;NA
mRNA:Solyc00g500083.1.1;11225.368877189087;1.2321254722785746;0.21203759031424393;5.810882261265751;6.214445950608979e-9;1.119556339717402e-5;Solyc00g500083.1;Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE);GO:0009523,GO:0015979,GO:0016020,GO:0042301,GO:0050821;Solyc00g500083;NA;NA;NA;NA;NA;NA
