Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Geneid,Chr,Start,End,Strand,Length,mapped_E02_1_both/E02_1_1_qcAligned.sortedByCoord.out.bam,mapped_E02_1_both/E02_1_2_qcAligned.sortedByCoord.out.bam
AT1G01010,Chr1,3631,5899,+,2269,112,103
AT1G01020,Chr1,5928,8737,-,2810,232,260
AT1G01030,Chr1,11649,13714,-,2066,176,188
AT1G01040,Chr1,23146,31227,+,8082,522,490
AT1G01046,Chr1,28500,28706,+,207,10,10
AT1G01050,Chr1,31170,33153,-,1984,2151,2138
AT1G01060,Chr1,33379,37871,-,4493,237,258
AT1G01070,Chr1,38752,40944,-,2193,137,148
AT1G01073,Chr1,44677,44787,+,111,0,0
AT1G01080,Chr1,45296,47019,-,1724,1018,982
AT1G01090,Chr1,47485,49286,-,1802,3414,3765
AT1G01100,Chr1,50075,51199,-,1125,5405,5559
AT1G01110,Chr1,52239,54692,+,2454,83,101
AT1G01115,Chr1,56624,56740,+,117,0,0
AT1G01120,Chr1,57269,59167,-,1899,1075,1179
AT1G01130,Chr1,61905,63811,-,1907,54,51
AT1G01140,Chr1,64166,67625,-,3460,544,547
AT1G01150,Chr1,70115,72138,-,2024,2,3
AT1G01160,Chr1,72339,74096,+,1758,877,985
AT1G01170,Chr1,73931,74737,-,807,658,716
AT1G01180,Chr1,75583,76758,+,1176,87,92
AT1G01183,Chr1,78932,79032,-,101,0,0
AT1G01190,Chr1,83045,84864,-,1820,71,58
AT1G01200,Chr1,86515,88213,-,1699,35,31
AT1G01210,Chr1,88898,89745,+,848,112,122
AT1G01220,Chr1,91376,95651,+,4276,522,540
AT1G01225,Chr1,95987,97407,+,1421,53,47
AT1G01230,Chr1,97456,99240,+,1785,529,439
AT1G01240,Chr1,99894,101834,+,1941,104,101
AT1G01250,Chr1,104491,105330,-,840,16,15
AT1G01260,Chr1,108946,111609,+,2664,212,208
AT1G01270,Chr1,111890,111961,-,72,0,0
AT1G01280,Chr1,112263,113947,+,1685,0,0
AT1G01290,Chr1,114286,116108,+,1823,212,217
AT1G01300,Chr1,116943,118764,+,1822,2158,2068
AT1G01305,Chr1,119397,119997,+,601,1,0
AT1G01310,Chr1,120154,121130,+,977,16,8
AT1G01320,Chr1,121067,130577,-,9511,5141,5083
AT1G01340,Chr1,132328,135831,-,3504,114,103
AT1G01350,Chr1,136124,138162,+,2039,328,307
AT1G01355,Chr1,138513,139568,+,1056,0,1
AT1G01360,Chr1,141971,143183,+,1213,69,87
AT1G01370,Chr1,143564,145684,+,2121,149,129
AT1G01380,Chr1,147153,147942,+,790,15,13
AT1G01390,Chr1,148120,149806,-,1687,27,20
AT1G01400,Chr1,150689,152210,-,1522,0,0
AT1G01410,Chr1,153113,154198,+,1086,0,0
AT1G01420,Chr1,154492,156011,-,1520,160,171
AT1G01430,Chr1,156801,158655,-,1855,1243,1281
AT1G01440,Chr1,159856,162572,-,2717,194,191
AT1G01448,Chr1,163419,166239,+,2821,233,243
AT1G01450,Chr1,164105,165517,-,1413,107,113
AT1G01453,Chr1,166589,167842,-,1254,31,21
AT1G01460,Chr1,168723,171165,+,2443,0,1
AT1G01470,Chr1,172146,172948,-,803,1145,1194
AT1G01471,Chr1,173251,173466,+,216,0,0
AT1G01480,Chr1,175782,178400,+,2619,52,46
AT1G01490,Chr1,180059,182358,-,2300,2184,2274
AT1G01500,Chr1,185133,186923,+,1791,300,284
AT1G01510,Chr1,187211,190056,+,2846,712,696
AT1G01520,Chr1,190596,192139,+,1544,13,9
AT1G01530,Chr1,192640,193670,-,1031,0,0
AT1G01540,Chr1,195780,198684,+,2905,1069,997
AT1G01550,Chr1,199639,201775,+,2137,1566,1576
AT1G01560,Chr1,202136,204335,+,2200,2,5
AT1G01570,Chr1,205176,207435,+,2260,19,22
AT1G01580,Chr1,209395,213041,+,3647,16,22
AT1G01590,Chr1,214229,217304,+,3076,2,3
AT1G01600,Chr1,218994,221286,+,2293,202,216
AT1G01610,Chr1,221691,224340,-,2650,1302,1301
AT1G01620,Chr1,225665,227302,-,1638,6419,6768
AT1G01630,Chr1,229013,230917,+,1905,1202,1109
AT1G01640,Chr1,230994,232508,-,1515,69,86
AT1G01650,Chr1,232841,237817,-,4977,727,755
AT1G01660,Chr1,240057,242608,-,2552,34,25
AT1G01670,Chr1,242843,245988,-,3146,7,17
AT1G01680,Chr1,246411,248367,-,1957,3,7
AT1G01690,Chr1,249141,252462,+,3322,109,112
AT1G01695,Chr1,252947,254495,+,1549,10,6
AT1G01700,Chr1,259495,261474,-,1980,20,20
AT1G01710,Chr1,262828,267771,+,4944,564,584
AT1G01720,Chr1,268330,269819,+,1490,1268,1272
AT1G01725,Chr1,269792,270775,-,984,151,127
AT1G01730,Chr1,270956,272061,+,1106,466,531
AT1G01740,Chr1,272111,274569,-,2459,132,134
AT1G01750,Chr1,275366,276310,+,945,388,357
AT1G01760,Chr1,276266,278448,-,2183,65,75
AT1G01770,Chr1,278615,282891,+,4277,560,578
AT1G01780,Chr1,282761,284245,+,1485,840,847
AT1G01790,Chr1,284610,291094,+,6485,1070,1072
AT1G01800,Chr1,293342,295040,+,1699,721,745
AT1G01810,Chr1,295221,295859,+,639,12,11
AT1G01820,Chr1,296001,298120,-,2120,974,991
AT1G01830,Chr1,298535,302315,-,3781,337,357
AT1G01840,Chr1,303537,304358,+,822,95,116
AT1G01860,Chr1,304133,306287,-,2155,251,303
AT1G01870,Chr1,306384,306456,+,73,1,1
AT1G01880,Chr1,306480,309109,-,2630,47,43
AT1G01890,Chr1,309275,309347,-,73,0,0
AT1G01900,Chr1,310316,313130,+,2815,153,162
AT1G01910,Chr1,313101,315902,-,2802,821,835
AT1G01920,Chr1,316128,319650,+,3523,284,312
AT1G01930,Chr1,319836,322860,-,3025,349,310
AT1G01940,Chr1,323027,324917,+,1891,488,574
AT1G01950,Chr1,325379,330619,+,5241,235,217
AT1G01960,Chr1,330588,337582,-,6995,1397,1300
AT1G01970,Chr1,338291,340077,+,1787,580,586
AT1G01980,Chr1,340172,341999,-,1828,1,2
AT1G01990,Chr1,343166,344341,-,1176,659,605
AT1G02000,Chr1,345812,347592,+,1781,279,289
AT1G02010,Chr1,347891,352480,+,4590,209,160
AT1G02020,Chr1,352637,354969,-,2333,241,232
AT1G02030,Chr1,355321,357258,-,1938,5,6
AT1G02040,Chr1,358104,359078,-,975,1,3
AT1G02050,Chr1,359117,360518,-,1402,177,223
AT1G02060,Chr1,360918,363094,-,2177,51,64
AT1G02065,Chr1,365209,367340,+,2132,38,31
AT1G02070,Chr1,370257,370967,-,711,7,6
AT1G02074,Chr1,372064,372210,+,147,0,1
AT1G02080,Chr1,373335,386847,+,13513,1276,1338
AT1G02090,Chr1,387277,389647,-,2371,1049,1003
AT1G02100,Chr1,389812,392816,+,3005,811,737
AT1G02110,Chr1,392831,395528,+,2698,716,688
AT1G02120,Chr1,395761,399897,+,4137,983,999
AT1G02130,Chr1,400035,401882,-,1848,1107,1050
AT1G02140,Chr1,403190,404456,-,1267,2340,2338
AT1G02145,Chr1,404600,408619,+,4020,343,321
AT1G02150,Chr1,408622,410611,+,1990,2011,1937
AT1G02160,Chr1,410748,411597,+,850,234,258
AT1G02170,Chr1,411779,413554,+,1776,743,825
AT1G02180,Chr1,413522,414645,-,1124,188,203
AT1G02190,Chr1,415079,418010,+,2932,15,11
AT1G02205,Chr1,418748,422438,+,3691,600,583
AT1G02210,Chr1,427548,427811,-,264,0,0
AT1G02220,Chr1,428814,430647,-,1834,79,60
AT1G02230,Chr1,435174,436776,-,1603,2,1
AT1G02250,Chr1,437951,439559,-,1609,2,0
AT1G02260,Chr1,440441,442877,-,2437,218,198
AT1G02270,Chr1,443149,446235,-,3087,208,218
AT1G02280,Chr1,448463,450426,-,1964,1402,1287
AT1G02290,Chr1,450527,452737,-,2211,248,249
AT1G02300,Chr1,453288,455463,+,2176,313,273
AT1G02305,Chr1,455688,458164,+,2477,891,974
AT1G02310,Chr1,458133,460696,-,2564,4,12
AT1G02320,Chr1,461828,461974,+,147,1,2
AT1G02330,Chr1,462075,463612,-,1538,485,498
AT1G02335,Chr1,463855,464924,-,1070,162,180
AT1G02340,Chr1,465718,467844,-,2127,30,44
AT1G02350,Chr1,469818,470693,+,876,29,43
AT1G02360,Chr1,471990,473160,-,1171,266,256
AT1G02370,Chr1,474500,476511,+,2012,217,237
AT1G02380,Chr1,477000,478971,+,1972,79,64
AT1G02390,Chr1,480852,483292,+,2441,37,41
AT1G02391,Chr1,483764,483919,-,156,0,0
AT1G02400,Chr1,486801,489577,+,2777,66,54
AT1G02405,Chr1,489979,490505,-,527,6,6
AT1G02410,Chr1,490925,492926,+,2002,280,262
AT1G02420,Chr1,493683,495158,+,1476,95,83
AT1G02430,Chr1,495050,496062,-,1013,146,132
AT1G02440,Chr1,496586,497479,-,894,5,5
AT1G02450,Chr1,497976,498516,-,541,0,0
AT1G02460,Chr1,504673,507204,-,2532,45,32
AT1G02470,Chr1,511765,513624,-,1860,31,25
AT1G02475,Chr1,513843,515404,-,1562,836,911
AT1G02480,Chr1,515494,515566,+,73,0,0
AT1G02490,Chr1,516618,516734,+,117,2,2
AT1G02500,Chr1,518251,520437,+,2187,8364,8550
AT1G02510,Chr1,520498,521668,-,1171,0,0
AT1G02520,Chr1,523651,528745,+,5095,303,290
AT1G02530,Chr1,529795,534677,+,4883,9,7
AT1G02540,Chr1,534827,535699,-,873,0,0
AT1G02550,Chr1,536483,537211,+,729,0,0
AT1G02560,Chr1,537860,540109,+,2250,4371,4591
AT1G02570,Chr1,541335,542240,+,906,19,22
AT1G02575,Chr1,543110,544007,+,898,1,2
AT1G02580,Chr1,544783,549202,+,4420,1,2
AT1G02590,Chr1,552138,552761,-,624,0,0
AT1G02600,Chr1,552640,552711,+,72,0,0
AT1G02610,Chr1,553050,555994,-,2945,23,16
AT1G02620,Chr1,557092,557986,+,895,1,0
AT1G02630,Chr1,560610,562424,-,1815,1,2
AT1G02640,Chr1,564205,567769,+,3565,279,296
AT1G02650,Chr1,568704,570418,+,1715,20,32
AT1G02660,Chr1,571955,574981,-,3027,80,84
AT1G02670,Chr1,576046,580299,+,4254,51,52
AT1G02680,Chr1,580625,582310,+,1686,214,202
AT1G02690,Chr1,584260,587219,+,2960,494,512
AT1G02700,Chr1,588329,589480,+,1152,41,36
AT1G02710,Chr1,589706,589996,-,291,319,288
AT1G02720,Chr1,591826,594236,+,2411,270,260
AT1G02730,Chr1,594573,598657,-,4085,1006,960
AT1G02740,Chr1,599416,602038,-,2623,78,69
AT1G02750,Chr1,602497,604292,+,1796,174,187
AT1G02760,Chr1,604402,604474,+,73,0,0
AT1G02770,Chr1,604873,606693,-,1821,6,4
AT1G02780,Chr1,607808,609465,-,1658,14711,15068
AT1G02790,Chr1,610391,612324,-,1934,0,0
AT1G02800,Chr1,613216,616191,-,2976,88,83
AT1G02810,Chr1,618265,620480,+,2216,130,135
AT1G02813,Chr1,620678,621289,+,612,1,1
AT1G02816,Chr1,621461,622469,+,1009,227,248
AT1G02820,Chr1,623765,624475,-,711,167,175
AT1G02830,Chr1,625145,625608,-,464,0,0
AT1G02840,Chr1,626741,629819,+,3079,2158,2253
AT1G02850,Chr1,630505,633259,+,2755,629,652
AT1G02860,Chr1,635144,637262,+,2119,175,216
AT1G02870,Chr1,637214,638677,-,1464,836,832
AT1G02880,Chr1,642752,644903,-,2152,423,405
AT1G02890,Chr1,645092,651907,-,6816,713,762
AT1G02900,Chr1,653765,654343,-,579,167,156
AT1G02910,Chr1,655577,658148,-,2572,666,763
AT1G02920,Chr1,658657,659771,-,1115,398,476
AT1G02930,Chr1,661177,662456,-,1280,1663,1646
AT1G02940,Chr1,663079,664128,-,1050,17,25
AT1G02950,Chr1,665152,666452,-,1301,78,57
AT1G02952,Chr1,665354,666367,+,1014,75,56
AT1G02960,Chr1,666872,669837,-,2966,177,180
AT1G02965,Chr1,671661,672814,-,1154,0,0
AT1G02970,Chr1,673306,676378,+,3073,96,101
AT1G02980,Chr1,677869,681310,+,3442,3,4
AT1G02990,Chr1,681396,687315,-,5920,256,256
AT1G03000,Chr1,687890,692560,-,4671,355,330
AT1G03010,Chr1,693480,696382,+,2903,18,13
AT1G03020,Chr1,698207,698515,-,309,16,29
AT1G03022,Chr1,699121,699246,+,126,0,0
AT1G03030,Chr1,701478,703864,+,2387,244,201
AT1G03040,Chr1,703906,706631,-,2726,748,768
AT1G03050,Chr1,707726,710041,+,2316,6,7
AT1G03055,Chr1,710018,711803,-,1786,59,49
AT1G03060,Chr1,712473,726891,-,14419,638,629
AT1G03070,Chr1,729901,731557,+,1657,15,32
AT1G03080,Chr1,731611,738056,-,6446,661,662
AT1G03090,Chr1,739679,744184,+,4506,320,334
AT1G03100,Chr1,743885,746479,-,2595,78,97
AT1G03103,Chr1,747197,748057,+,861,0,0
AT1G03106,Chr1,748102,749034,-,933,1,2
AT1G03110,Chr1,749246,751963,+,2718,341,367
AT1G03120,Chr1,752271,753140,+,870,6,4
AT1G03130,Chr1,753307,754198,-,892,10331,9626
AT1G03140,Chr1,754371,756303,-,1933,629,626
AT1G03150,Chr1,756414,758612,+,2199,251,247
AT1G03160,Chr1,761282,766158,+,4877,698,719
AT1G03170,Chr1,769632,770684,+,1053,11,16
AT1G03180,Chr1,773411,775344,+,1934,80,103
AT1G03190,Chr1,775527,780062,+,4536,184,155
AT1G03200,Chr1,780602,781285,+,684,1,4
AT1G03210,Chr1,782948,784240,+,1293,214,209
AT1G03220,Chr1,787122,788651,+,1530,2374,2431
AT1G03230,Chr1,790091,791592,+,1502,1061,1089
AT1G03240,Chr1,792222,792986,-,765,0,0
AT1G03250,Chr1,793353,795376,-,2024,632,653
AT1G03260,Chr1,795532,798463,-,2932,224,261
AT1G03270,Chr1,799191,802436,+,3246,48,65
AT1G03280,Chr1,803035,807066,+,4032,410,419
AT1G03290,Chr1,807361,810868,+,3508,198,210
AT1G03300,Chr1,811033,813086,-,2054,90,97
AT1G03310,Chr1,813471,816749,+,3279,879,816
AT1G03320,Chr1,817027,817767,+,741,23,24
AT1G03330,Chr1,817983,819563,-,1581,462,401
