Group.1,transcript,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,tair_symbol,uniprotswissprot,entrezgene_id,description,external_gene_name,external_gene_source
AT1G01430,AT1G01430.1,477.372885541541,0.28830817599387,0.0813226915891598,3.54523651836803,0.000392260935831586,0.0212170543381501,AT1G01430,TBL25,Q84JH9,837247,Mannan O-acetyltransferase 3 [Source:UniProtKB/TrEMBL;Acc:A0A346P850],TBL25,UniProtKB Gene Name
AT1G01448,"AT1G01448.3,AT1G01448.1,AT1G01448.2","24.7532417251922,23.438038304784,23.3164176526975","-0.783653350512843,-0.835853395719498,-0.850451167788021","0.241776228224208,0.234107324798022,0.238616937196801","-3.2412340794155,-3.57038549067458,-3.56408550783889","0.00119013413731284,0.000356456256883762,0.000365126923468889","0.0441920667151393,0.0199331441623579,0.020252810659549",AT1G01448,"NA","NA","NA","NA","NA","NA"
AT1G02610,"AT1G02610.2,AT1G02610.1,AT1G02610.3,AT1G02610.2,AT1G02610.1,AT1G02610.3,AT1G02610.2,AT1G02610.1","143.319441940738,135.198765869083,173.648018258778,105.537184802691,98.7884420204647","-0.772561510148653,-0.77642712087097,-0.622090681576401,-0.620436248906782,-0.791914585515068","0.145097165891113,0.150853046879001,0.123869422072551,0.188581120603737,0.168764649451091","-5.32444245484721,-5.1469104332625,-5.02214889815211,-3.29002313126825,-4.69241981712864","1.01263152018219e-07,2.64811686210086e-07,5.10965456947847e-07,0.00100179147075874,2.69992367233088e-06","5.80646808409085e-05,9.51312053942908e-05,0.000169282855886822,0.0397422816784488,0.000562962406558671",AT1G02610,,,837915,RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HXK4],,
AT1G02660,AT1G02660.1,1648.96684554515,-0.406324603230291,0.124054467594337,-3.27537259326273,0.00105522699567259,0.0411039574458742,AT1G02660,,F4HXL0,839544,"Phospholipase A1 PLIP2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4HXL0]",PLIP2,UniProtKB Gene Name
AT1G03220,AT1G03220.1,1320.9956539981,-0.343343683979207,0.0891628550598458,-3.85074797962397,0.000117757628215748,0.00938817968050523,AT1G03220,,,838517,Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZVS4],,
AT1G03610,"AT1G03610.2,AT1G03610.1,AT1G03610.2,AT1G03610.1","184.81740615585,402.689952709434","-0.436222264901272,-0.382909900108018","0.121950506071361,0.080968855247044","-3.57704349866337,-4.72910107151352","0.000347502364303647,2.25516102977566e-06","0.019513141236237,0.000495012124382866",AT1G03610,,,838961,Plant/protein (DUF789) [Source:UniProtKB/TrEMBL;Acc:Q8LF98],,
AT1G03630,"AT1G03630.1,AT1G03630.2","589.66297498342,589.010850230297","0.364563216217039,0.368784779464957","0.0901343028646334,0.0898847156587402","4.04466673209368,4.10286417175863","5.23976072178919e-05,4.08066836157919e-05","0.00504651159196772,0.00418121266450882",AT1G03630,POR C,"O48741,",839009,"Protochlorophyllide reductase C, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O48741]",PORC,UniProtKB Gene Name
AT1G03730,AT1G03730.1,166.340950420907,-0.475763129596206,0.123197722186805,-3.86178511380919,0.00011256155124282,0.00916298695390454,AT1G03730,,,839106,At1g03730 [Source:UniProtKB/TrEMBL;Acc:Q1ECK0],,
AT1G04350,AT1G04350.1,269.862245589476,0.313918218652244,0.0850224220550091,3.69218155710902,0.000222338645689911,0.0141353334723584,AT1G04350,,P93824,839542,1-aminocyclopropane-1-carboxylate oxidase homolog 6 [Source:UniProtKB/Swiss-Prot;Acc:P93824],,
AT1G04680,AT1G04680.1,334.883689615068,0.392180579815554,0.105331016932138,3.72331523266529,0.000196623769749837,0.0130864529969439,AT1G04680,,Q940Q1,839452,Pectate lyase [Source:UniProtKB/TrEMBL;Acc:A0A178W464],,
AT1G05575,AT1G05575.1,68.096370554562,-0.720666193814822,0.181756141095844,-3.96501702484319,7.33907088216798e-05,0.00659123724378321,AT1G05575,,,837061,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q8LC91],,
AT1G06430,"AT1G06430.2,AT1G06430.3,AT1G06430.1","659.263771963683,659.399015055331","0.231652169914723,0.232135599303515","0.0699982244685188,0.0699866167114614","3.30940065513958,3.31685699653915","0.000934959393532474,0.000910361997266229","0.0383264930740472,0.0377003662117877",AT1G06430,FTSH8,Q8W585,837154,"ATP-dependent zinc metalloprotease FTSH 8, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8W585]",FTSH8,UniProtKB Gene Name
AT1G06680,"AT1G06680.1,AT1G06680.2","17079.6209255624,17075.8055902452","0.16670130095858,0.16688746872131","0.0508014903099426,0.0508496167940724","3.28142540585969,3.28198085340859","0.00103283839652731,0.00103080604148373","0.0405212400911249,0.0404947875348094",AT1G06680,PSBP-1,"Q42029,",837178,"Oxygen-evolving enhancer protein 2-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42029]",PSBP1,UniProtKB Gene Name
AT1G07010,"AT1G07010.3,AT1G07010.1,AT1G07010.2","89.1589064752787,95.8293668137276","0.42513422202289,0.420714688370716","0.110101104281097,0.111271861692289","3.8613075209263,3.78096206868686","0.000112781842978266,0.000156223477696307","0.00916298695390454,0.0113593268446219",AT1G07010,,"Q8L774,",837211,Calcineurin-like metallo-phosphoesterase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HNW0],,
AT1G07040,AT1G07040.1,462.932376655442,-0.344958342082123,0.0874240526055655,-3.94580589438567,7.95320247468448e-05,0.00707882502052738,AT1G07040,,,837215,At1g07040 [Source:UniProtKB/TrEMBL;Acc:Q9LMJ7],,
AT1G07135,AT1G07135.1,1347.90733391974,-0.367865912611569,0.0994365181220788,-3.69950516730622,0.000216020242345981,0.0138267382388923,AT1G07135,,,837224,At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6],,
AT1G09340,"AT1G09340.2,AT1G09340.1","3906.22272166436,3905.24548290447","0.234199908696213,0.23426448229152","0.0705593530971995,0.0705766878911604","3.31919013448988,3.31928982914004","0.000902789369566412,0.000902467096596787",0.0375956293748069,AT1G09340,CRB,",Q9SA52",837455,chloroplast RNA binding [Source:TAIR;Acc:AT1G09340],CRB,TAIR Gene Name
AT1G09920,AT1G09920.1,149.911590463232,-0.38872478445863,0.0890496813358854,-4.36525744536248,1.26973126072645e-05,0.00164606856526438,AT1G09920,,,837524,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q8L7A5],,
AT1G10070,"AT1G10070.3,AT1G10070.2,AT1G10070.1",1862.81450738127,-0.506635292159869,0.142401078341794,-3.55780516594005,0.000373966524094636,0.0205482570464903,AT1G10070,ATBCAT-2,"Q9M439,",837543,"Branched-chain-amino-acid aminotransferase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M439]",BCAT2,UniProtKB Gene Name
AT1G11210,AT1G11210.1,366.709066938049,-0.394751586644069,0.0794731299338469,-4.96710758683669,6.79588896398108e-07,0.000206768389019412,AT1G11210,,,837662,At1g11210/T28P6_5 [Source:UniProtKB/TrEMBL;Acc:Q9SXA7],,
AT1G11310,"AT1G11310.1,AT1G11310.3,AT1G11310.2","418.936883087033,400.557550630572,417.772934607469","-0.354460541814264,-0.37092993668064,-0.347477348759388","0.0934475376885002,0.0937711094688127,0.091843335989056","-3.79315015229004,-3.95569529657754,-3.78337029047805","0.000148748147941108,7.63123768038943e-05,0.00015471897070262","0.011060407798404,0.00681259323102311,0.0113532049016181",AT1G11310,MLO2,",Q9SXB6",837673,MLO-like protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SXB6],MLO2,UniProtKB Gene Name
AT1G11860,"AT1G11860.3,AT1G11860.1,AT1G11860.2","5492.95024854167,5500.17220226738,5503.14628682443","0.266046846975395,0.265510517795949,0.266663548016457","0.063657983092443,0.0636899758830124,0.0635817654504673","4.17931630961425,4.16879601718874,4.19402553746638","2.9238677695376e-05,3.0621287996483e-05,2.74047109270288e-05","0.00321205784558894,0.00333224432186546,0.00307190325455345",AT1G11860,,"O65396,",837733,Glycine cleavage T-protein family [Source:TAIR;Acc:AT1G11860],,
AT1G12900,"AT1G12900.5,AT1G12900.1,AT1G12900.3,AT1G12900.2,AT1G12900.4","8463.67171939973,8463.47143741204,7500.67690266366","0.23951247189885,0.239509794239311,0.25010431397881","0.0673634361615647,0.0673589674385113,0.0727237708198445","3.55552634406003,3.55572247240796,3.43909991408975","0.000377223142606756,0.00037694182037064,0.000583651781117912","0.0205624541921493,0.0283432331556886",AT1G12900,GAPA-2,",Q9LPW0",837848,glyceraldehyde 3-phosphate dehydrogenase A subunit 2 [Source:TAIR;Acc:AT1G12900],GAPA-2,TAIR Gene Name
AT1G13100,AT1G13100.1,133.157482801792,-0.389039519289507,0.101989934498715,-3.81448935330388,0.000136464819775299,0.0105413770239381,AT1G13100,CYP71B29,Q9SAE4,837867,Cytochrome P450 71B29 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAE4],CYP71B29,UniProtKB Gene Name
AT1G13260,AT1G13260.1,706.834936148877,-0.543076728318884,0.106569786809925,-5.09597273838506,3.46955057518802e-07,0.000120292545930676,AT1G13260,RAV1,Q9ZWM9,837886,AP2/ERF and B3 domain-containing transcription factor RAV1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZWM9],RAV1,UniProtKB Gene Name
AT1G13920,AT1G13920.2,83.1870720709785,0.51927739043437,0.15403435578773,3.37117903196849,0.000748471995746475,0.0332595968661291,AT1G13920,,,837952,Remorin family protein [Source:TAIR;Acc:AT1G13920],,
AT1G14200,AT1G14200.1,282.284056703465,0.613196236760263,0.110627583685843,5.5428873733842,2.97524243792895e-08,2.01620008572108e-05,AT1G14200,,,837980,At1g14200 [Source:UniProtKB/TrEMBL;Acc:Q9XI67],,
AT1G14345,AT1G14345.1,1306.06455030004,0.264120766118447,0.0773476727356099,3.41472156533094,0.00063847241920056,0.0297458314426611,AT1G14345,,,837996,NAD(P)-linked oxidoreductase superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q949S6],,
AT1G14740,AT1G14740.1,381.212482949469,-0.249229777935075,0.0737759221364634,-3.37819942764084,0.000729621463657453,0.0325188687322485,AT1G14740,,Q94B71,838039,Protein OBERON 3 [Source:UniProtKB/Swiss-Prot;Acc:Q94B71],OBE3,UniProtKB Gene Name
AT1G15290,"AT1G15290.1,AT1G15290.2","1230.49641165085,1229.65454479003","0.303189705312977,0.302673284532413","0.0806403112861035,0.0807697705693539","3.75977845915414,3.74735847828761","0.000170063890762627,0.000178706603127147","0.0120161019688845,0.012277637754475",AT1G15290,,,838097,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HZK4],,
AT1G15670,AT1G15670.1,1700.80686953593,-0.433493705118061,0.123945698513841,-3.49744856268371,0.000469731286476378,0.0240418175542937,AT1G15670,,Q9LMR5,838136,F-box/kelch-repeat protein At1g15670 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMR5],,
AT1G15820,AT1G15820.1,20859.9793882983,0.334434022161001,0.0681066117047209,4.91044868904878,9.08682317523297e-07,0.000244091717672001,AT1G15820,LHCB6,,838151,"Chlorophyll a-b binding protein, chloroplastic [Source:UniProtKB/TrEMBL;Acc:Q9LMQ2]",LHCB6,TAIR Gene Name
AT1G16030,AT1G16030.1,80.2508354649159,-1.02974238967056,0.218234160895831,-4.71852062685128,2.37565884314837e-06,0.000512559214517789,AT1G16030,Hsp70b,Q9S9N1,838174,Hsp70b [Source:UniProtKB/TrEMBL;Acc:A0A178W9N7],HSP70-5,UniProtKB Gene Name
