original_genename;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;gene;description_ITAG4.0;goterm;gene_id_versionless;ensembl_gene_id;description_ITAG3.0;athaliana_eg_homolog_ensembl_gene;athaliana_eg_homolog_associated_gene_name;external_gene_name;athaliana_eg_homolog_perc_id
mRNA:Solyc01g066770.3.1;7.578040630421937;-5.415855292932314;1.3354531312901465;-4.055443928384216;5.0039175608996156e-5;0.03526887901286787;Solyc01g066770.3;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc01g081540.4.1;222.88128945803538;-1.284551674641134;0.32051389549375664;-4.007787782998494;6.129015519741924e-5;0.03526887901286787;Solyc01g081540.4;Myosin-17 (AHRD V3.3 *** A0A2G3ALU8_CAPAN);GO:0005515;Solyc01g081540;Solyc01g081540.3;;AT2G31900;XIF;;68.4551
mRNA:Solyc01g074000.3.1;229.07468314468295;1.4357376610603092;0.33225203585060603;4.321230590460174;1.5516141813678942e-5;0.02529777621538571;Solyc01g074000.3;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc01g150150.1.1;8.553726374501956;-5.59708852776346;1.3660432225372505;-4.097299730653899;4.1799752616664314e-5;0.03266786347553811;Solyc01g150150.1;ATP-dependent DNA helicase (AHRD V3.3 *-* A0A2G2XW06_CAPAN);;Solyc01g150150;NA;NA;NA;NA;NA;NA
mRNA:Solyc02g065610.3.1;203.50167702537217;-1.4802525602077172;0.3617309635144069;-4.092136724559832;4.274165064797413e-5;0.03266786347553811;Solyc02g065610.3;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc02g068540.2.1;9.94304620289826;-5.294662559974228;1.1707746234404135;-4.522358491522001;6.115437013276942e-6;0.01709264645210905;Solyc02g068540.2;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc02g079930.3.1;17.057696307838945;-2.6715854165923894;0.6481913901049295;-4.121599665432013;3.762506291872648e-5;0.032005841565429724;Solyc02g079930.3;phosphosulfolactate synthase;;Solyc02g079930;Solyc02g079930.3;"Phosphosulfolactate synthase-related protein [Source:UniProtKB/TrEMBL;Acc:Q4VUC5]";AT4G21320;HSA32;;66.7832
mRNA:Solyc02g081190.4.1;35925.97271549872;-1.1594971141307284;0.27365921989633024;-4.237010960456506;2.2651508275210993e-5;0.02730818478201941;Solyc02g081190.4;NA;NA;NA;NA;NA;NA;NA;NA;NA
mRNA:Solyc02g081850.4.1;45.16655682978675;1.582479785986559;0.4063607538699255;3.8942731819350462;9.849360235566926e-5;0.04652449203512412;Solyc02g081850.4;Cationic amino acid transporter.1;GO:0016020,GO:0022857,GO:0055085;Solyc02g081850;Solyc02g081850.3;;AT2G34960;CAT5;;72.2973
mRNA:Solyc03g006100.4.1;27.202663786424562;3.8496418955985416;0.9087339497509702;4.236269478711012;2.2726400844894e-5;0.02730818478201941;Solyc03g006100.4;LRR receptor-like serine/threonine-protein kinase EFR (AHRD V3.3 *** A0A1U8GGG3_CAPAN);GO:0004672,GO:0005524,GO:0006468;Solyc03g006100;Solyc03g006100.3;;;;;NA
