Group.1,Group.2,Group.3,transcript,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,tair_symbol,uniprotswissprot,entrezgene_id,description,external_gene_name,external_gene_source
AT5G45630,180.69275915740758,-1.4872551716305475,AT5G45630.1,180.692759157408,-1.48725517163055,0.265268380590042,8.3638649998235e-10,3.04729057403569e-06,AT5G45630,,,834603,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q9FK78],,
AT1G32920,1107.8877252869254,-1.3534165566317748,AT1G32920.1,1107.88772528693,-1.35341655663177,0.200246069312018,6.17469428763306e-13,1.12484405837811e-08,AT1G32920,,,28717292,At1g32920/F9L11_25 [Source:UniProtKB/TrEMBL;Acc:Q93WI1],,
AT5G56550,831.8046572283314,-1.1983688468732372,AT5G56550.1,831.804657228331,-1.19836884687324,0.186492313821013,5.775305106424e-12,5.2604366561863e-08,AT5G56550,OXS3,,835756,Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9],OXS3,TAIR Gene Name
AT2G36690,140.47660656819565,-1.172179301858053,AT2G36690.2,140.476606568196,-1.17217930185805,0.309599129405598,5.80841870155654e-06,0.00352706544954185,AT2G36690,,,818241,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4INZ9],,
AT2G36690,148.3050184375566,-1.138073209099251,AT2G36690.1,148.305018437557,-1.13807320909925,0.304630664603769,7.06775764833796e-06,0.00390161639635674,AT2G36690,,,818241,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4INZ9],,
AT4G01250,309.22606962040913,-1.1357689613274795,AT4G01250.1,309.226069620409,-1.13576896132748,0.227155661959055,2.39326149788289e-08,3.73660744661488e-05,AT4G01250,WRKY22,O04609,827896,WRKY transcription factor 22 [Source:UniProtKB/Swiss-Prot;Acc:O04609],WRKY22,UniProtKB Gene Name
AT1G32928,309.5792649140415,-1.1033045150871676,AT1G32928.1,309.579264914042,-1.10330451508717,0.198248735391837,1.09551009822571e-09,3.32615124322962e-06,AT1G32928,,,3766886,Avr9/Cf-9 rapidly elicited protein [Source:UniProtKB/TrEMBL;Acc:Q56XA0],,
AT5G22920,152.3110462649467,-1.0782828900501435,"AT5G22920.2,AT5G22920.1",152.311046264947,-1.07828289005014,0.260846939049358,1.3951760875763e-06,0.00133768014670408,AT5G22920,,"Q9FFB6,",832356,E3 ubiquitin-protein ligase RZFP34 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFB6],RZPF34,UniProtKB Gene Name
AT5G41080,730.1969343790995,-1.0762200523324006,AT5G41080.1,730.1969343791,-1.0762200523324,0.199480025380407,2.93491492978058e-09,6.17038206718005e-06,AT5G41080,,"Q9FLM1,",834110,Glycerophosphodiester phosphodiesterase GDPD2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLM1],GDPD2,UniProtKB Gene Name
AT5G41080,728.5457931769189,-1.0712504125541409,AT5G41080.2,728.545793176919,-1.07125041255414,0.199406390989576,3.33015736919502e-09,6.17038206718005e-06,AT5G41080,,"Q9FLM1,",834110,Glycerophosphodiester phosphodiesterase GDPD2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLM1],GDPD2,UniProtKB Gene Name
AT4G39780,117.42674931051027,-1.0203208760926392,AT4G39780.1,117.42674931051,-1.02032087609264,0.244006794547503,1.11488722116882e-06,0.00119470002988426,AT4G39780,,O65665,830136,Ethylene-responsive transcription factor ERF060 [Source:UniProtKB/Swiss-Prot;Acc:O65665],ERF060,UniProtKB Gene Name
AT3G19390,777.5911277417899,-0.9908504493336225,AT3G19390.1,777.59112774179,-0.990850449333623,0.233940723384531,9.13036924273641e-07,0.00109347465649352,AT3G19390,,Q9LT78,821473,Probable cysteine protease RD21C [Source:UniProtKB/Swiss-Prot;Acc:Q9LT78],RD21C,UniProtKB Gene Name
AT1G25400,1291.6430026063545,-0.9838643037160376,AT1G25400.2,1291.64300260635,-0.983864303716038,0.182728823996164,3.1083143677097e-09,6.17038206718005e-06,AT1G25400,,,839126,At1g25400 [Source:UniProtKB/TrEMBL;Acc:Q9C6L0],,
AT1G25400,1294.4221759494123,-0.9821026670017308,AT1G25400.1,1294.42217594941,-0.982102667001731,0.182869874320152,3.38715599010817e-09,6.17038206718005e-06,AT1G25400,,,839126,At1g25400 [Source:UniProtKB/TrEMBL;Acc:Q9C6L0],,
AT5G27420,132.50749547592054,-0.9376328460116282,AT5G27420.1,132.507495475921,-0.937632846011628,0.243975732816575,4.75472531101383e-06,0.00309345824966925,AT5G27420,CNI1,Q8LGA5,832801,E3 ubiquitin-protein ligase ATL31 [Source:UniProtKB/Swiss-Prot;Acc:Q8LGA5],ATL31,UniProtKB Gene Name
AT4G26200,163.67439906620558,-0.9369377562563896,AT4G26200.1,163.674399066206,-0.93693775625639,0.28845625434756,4.09569610588683e-05,0.0158747438214767,AT4G26200,ACS7,Q9STR4,828726,1-aminocyclopropane-1-carboxylate synthase 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9STR4],ACS7,UniProtKB Gene Name
AT5G66650,397.0031987509662,-0.9078298657437537,AT5G66650.1,397.003198750966,-0.907829865743754,0.29413131172118,6.82293670179167e-05,0.0199418260129407,AT5G66650,,Q9LVR5,836797,"Calcium uniporter protein 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9LVR5]",,
AT1G76410,160.79241726810284,-0.8783324563254504,AT1G76410.1,160.792417268103,-0.87833245632545,0.314247885516326,0.000164970223019,0.0390293838017808,AT1G76410,ATL8,Q8LC69,843974,ATL8 [Source:UniProtKB/TrEMBL;Acc:A0A178WF21],ATL8,UniProtKB Gene Name
AT2G27830,645.9138814918607,-0.8426469112542561,AT2G27830.1,645.913881491861,-0.842646911254256,0.184122007902076,1.98226203929123e-07,0.000277775904382833,AT2G27830,,,817330,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9ZUY4],,
AT2G31945,217.93503300570472,-0.8410842855728878,AT2G31945.1,217.935033005705,-0.841084285572888,0.215693798072635,3.7996451999786e-06,0.00288408902533376,AT2G31945,,,817753,At2g31940/F20M17.2 [Source:UniProtKB/TrEMBL;Acc:Q8RU85],,
AT3G57520,164.58303617154115,-0.8010342996069812,"AT3G57520.1,AT3G57520.2",164.583036171541,-0.801034299606981,0.27750216896368,0.00012784024828724,0.0332695114721236,AT3G57520,AtSIP2,"Q94A08,",824919,Probable galactinol--sucrose galactosyltransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94A08],RFS2,UniProtKB Gene Name
AT1G76650,494.5044919965974,-0.7967364502912164,AT1G76650.3,494.504491996597,-0.796736450291216,0.247637118229601,4.50754752334685e-05,0.0161007829868254,AT1G76650,CML38,"Q9SRE6,",843998,CML38 [Source:UniProtKB/TrEMBL;Acc:A0A178WMC5],CML38,UniProtKB Gene Name
AT4G32480,534.281238518892,-0.7950195088645454,AT4G32480.1,534.281238518892,-0.795019508864545,0.182629456579902,5.50816934253434e-07,0.000716730863663915,AT4G32480,,,829383,AT4g32480/F8B4_180 [Source:UniProtKB/TrEMBL;Acc:Q9SUU4],,
AT1G76650,494.4045142354002,-0.7924807287280903,AT1G76650.2,494.4045142354,-0.79248072872809,0.24800431443312,4.9075330703239e-05,0.0165530479764506,AT1G76650,CML38,"Q9SRE6,",843998,CML38 [Source:UniProtKB/TrEMBL;Acc:A0A178WMC5],CML38,UniProtKB Gene Name
