genes,tair_symbol,description,log2FoldChange,padj,uniprotswissprot,external_gene_name,external_gene_source,batchcorr,refgroup,logFC_scheible2004,Padj_scheible2004,logFC_nguyen2017,Padj_nguyen2017,notes,qPCR_gene
AT5G43370,APT1,Probable inorganic phosphate transporter 1-2 [Source:UniProtKB/Swiss-Prot;Acc:Q96243],-2.757487473,0.000739689,Q96243,PHT1-2,UniProtKB Gene Name,p,em2,0.592410974830012,0.00134574504551322,NA,NA,induced by P starvation (Dong 2002),
AT1G76430,PHT1;9,Putative phosphate transporter [Source:UniProtKB/TrEMBL;Acc:Q0WRM8],-2.409732374,0.024099901,Q9S735,PHT1-9,UniProtKB Gene Name,p,em2,NA,NA,NA,NA,remy 2012; Lapis-Gaza 2014; phosphate starvation,y
AT3G09922,IPS1,induced by phosphate starvation1 [Source:TAIR;Acc:AT3G09922],-2.334640936,1.93973E-12,,IPS1,TAIR Gene Name,r+p,em2,NA,NA,NA,NA,medici 2019,y
AT2G11810,MGDC,"Monogalactosyldiacylglycerol synthase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SI93]",-2.097899334,2.31131E-06,Q9SI93,MGD3,UniProtKB Gene Name,r+p,em2,2.08832217544784,2.91281810159085e-08,NA,NA,affected by P starvation (Chakraborty 2015),
AT4G24890,ATPAP24,Probable inactive purple acid phosphatase 24 [Source:UniProtKB/Swiss-Prot;Acc:Q8H1R2],-2.070967669,0.001946738,Q8H1R2,PAP24,UniProtKB Gene Name,p,em2,NA,NA,NA,NA,induced by P starvation (Farhadi 2020),
AT2G46880,ATPAP14,Probable inactive purple acid phosphatase 14 [Source:UniProtKB/Swiss-Prot;Acc:Q84LR6],-1.991204407,0.042095045,,PAP14,UniProtKB Gene Name,p,em2,NA,NA,NA,NA,induced by P starvation (Farhadi 2020),
AT2G45130,ATSPX3,SPX domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q5PP62],-1.969757074,0.000724037,Q5PP62,SPX3,UniProtKB Gene Name,r+p,em2,NA,NA,NA,NA,P starvation (medici 2019),y
AT1G73010,ATPS2,Inorganic pyrophosphatase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q67YC0],-1.887939364,9.56429E-12,Q67YC0,PS2,UniProtKB Gene Name,r+p,em2,0.703442729923556,0.00023042644923539,NA,NA,induced by P starvation,
AT4G15200,FH3,formin 3 [Source:TAIR;Acc:AT4G15200],-3.814834881,0.037621387,,AFH3,TAIR Gene Name,r,nm2,-0.298471562171228,0.0426235752647125,NA,NA,,
AT4G15210,ATBETA-AMY,Beta-amylase 5 [Source:UniProtKB/Swiss-Prot;Acc:P25853],-3.56047982,4.66912E-11,,BAM5,UniProtKB Gene Name,r,nm2,NA,NA,NA,NA,,
AT3G49160,,"Plastidial pyruvate kinase 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M3B6]",-3.383017781,0.006949508,,PKP4,UniProtKB Gene Name,r,em6,2.42016819104299,0.000144120951269412,0.796,0.00086,,
