Affy_identifier,T0 no addition,30min no addition,3hrs no addition,30 min 3mM KCl,3 hrs 3mM KCl,30 min 3mM KNO3 (A),30min 3mM KNO3 (B),3hrs 3mM KNO3 (A),3hrs 3mM KNO3 (B),Full nutrition (A),Full nutrition (B),Full nutrition (C ),Gene product
244901_at,62.8,117.3,158,132.4,151.9,135,48.5,145.6,53.9,47.6,48.4,18.4,hypothetical protein
244902_at,49.2,144.2,144.4,124.2,155.4,150.7,36.4,181,58.1,56.4,40.5,23.4,NADH dehydrogenase subunit 4L
244903_at,80.1,160.9,193.8,161.4,141.9,145.1,43.1,129.6,53.7,204.4,96.7,146.6,hypothetical protein
244904_at,9.8,30.5,29.4,17.3,20.6,19.2,1.6,23.4,6.2,46.9,11.1,15.1,hypothetical protein
244905_at,8,5.5,9.1,4.5,6.9,6.6,8.8,8.7,2.1,6.7,2.9,1.7,hypothetical protein
244906_at,83.7,184.5,247.2,215.9,214.1,214.3,66.9,268.5,79.9,118.2,97.1,71,hypothetical protein
244907_at,0.9,0.4,0.9,2,0.8,0.7,1.6,0.5,2.2,0.8,0.7,0.3,hypothetical protein
244908_at,0.6,2.6,0.4,0.6,0.4,0.6,0.4,0.5,0.4,0.6,0.4,0.4,hypothetical protein
244909_at,8.1,5.9,6.1,11.2,6.6,5.2,5.4,5.1,4.8,12.8,3.4,7.5,hypothetical protein
244910_s_at,12.5,10.2,9.2,13.5,8.3,10,9.9,9.1,6.8,15.1,5.8,3.7,hypothetical protein
244911_at,1.9,3.7,2.5,3,3.7,0.3,5.2,4.2,0.3,4,1.1,0.4,hypothetical protein
244912_at,278,452.7,435.2,413.4,241.8,277.8,75.1,209.7,123.8,544.3,342.2,429.8,cytochrome c biogenesis orf382 Protein sequence is in conflict with the conceptual translation
244913_at,6.2,15.1,11,11.7,7.4,3.7,2.1,2.6,0.7,31.5,1.8,2.1,hypothetical protein
244914_at,1.3,2.5,3.2,4.1,1,0.5,0.2,1,0.6,0.3,0.3,0.3,hypothetical protein
244915_s_at,12.5,12,9.3,13.6,8.2,5.8,11.2,8.4,4.2,5.6,1.9,1.9,hypothetical protein
244916_at,3.5,3.6,5.4,11.2,4.5,3.5,5.8,5.9,5,4.1,0.6,0.4,hypothetical protein
244917_at,0.8,2.4,0.8,0.6,0.5,0.5,0.4,0.6,0.4,3.9,0.5,0.6,hypothetical protein
244918_at,7.2,5.1,7.8,4.1,6.6,7.9,10.1,5.2,4.9,1.8,0.8,2.3,hypothetical protein
244919_at,2.9,21.2,23,17,14.5,13.7,0.9,13.1,7.2,9.6,11.4,7,cytochrome c biogenesis orf203 Protein sequence is in conflict with the conceptual translation
244920_s_at,98.6,96.7,112.7,147,124.3,108.3,81.3,124.1,92.7,115,199,205.8,NADH dehydrogenase subunit 3 Protein sequence is in conflict with the conceptual translation
244921_s_at,68.6,89.2,97.2,77.1,49.4,53,32,48.9,38.4,99.2,95.9,156.7,hypothetical protein
244922_s_at,21.9,39.4,43.9,36.8,38.7,22.3,14.2,22.1,11.2,40,47.1,47,hypothetical protein
244923_s_at,18.1,21.6,25,25.6,19.3,16.9,6.8,18.8,9.8,27.6,14.9,15.2,orf153b orf153b
244924_at,26.4,26.3,24.4,30.6,23.7,22.2,16.9,26.5,16.3,32.3,14.5,4.4,hypothetical protein
244925_at,11.3,7.5,9.4,11.5,9,8.8,7.8,5.4,7.6,7.5,8.4,8,NADH dehydrogenase subunit 7
244926_s_at,39.4,76.4,64.4,57.1,77.5,68,5.1,83.8,21.2,56.9,11.7,8.1,maturase
244927_at,25.9,25.5,26.4,36.7,21.5,34.2,23.2,37.4,17,43.3,15.2,8.7,hypothetical protein
244928_s_at,46.4,53.4,58.9,51.4,47.1,56.3,27.1,49.7,31.1,70.8,47.4,48.3,hypothetical protein
244929_at,194.6,396.9,633.9,552.1,444.9,416.5,130.8,381.6,177.5,401.6,415.1,360.8,NADH dehydrogenase subunit 4
244930_at,4.8,4.7,4.7,8.2,3.5,6.5,5.9,7.2,3,5.6,6.5,2.9,hypothetical protein
244931_at,14.3,58.8,72.5,45,48.8,53.8,7.7,54.4,9.6,109.5,25.7,25.5,hypothetical protein
244932_at,122.1,217.2,155.5,187,182,282.3,67.5,204.6,64.9,791.3,76,130.5,PSI 9KDa protein
244933_at,71.1,95.6,54,127.1,92.7,210.8,47.1,186.8,35.6,282.6,58.3,60,NADH dehydrogenase ND4L
