Group.1;gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G02610;AT1G02610;23.0096767426695;2.02334831668104;0.474572586291512;4.26351705751113;2.01234131082742e-05;0.0223097627559791;;;837915;"RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HXK4]";;
AT1G02660;AT1G02660;172.560772195639;1.54625811387778;0.296578504152995;5.21365538036471;1.85155301757757e-07;0.000728552897940076;;F4HXL0;839544;"Phospholipase A1 PLIP2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4HXL0]";PLIP2;UniProtKB Gene Name
AT1G05575;AT1G05575;41.5458256361715;1.49593973884565;0.36110965334202;4.14261907706131;3.43361987744841e-05;0.0304126082735357;;;837061;"Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q8LC91]";;
AT1G07135;AT1G07135;596.584391341366;1.43154255989697;0.27499592985808;5.20568635556083;1.93280866434997e-07;0.000728552897940076;;;837224;"At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]";;
AT1G23710;AT1G23710;270.94976149344;1.0689650972698;0.230873487412579;4.63009031158056;3.6550628105434e-06;0.00557340219995679;;;838981;"At1g23710 [Source:UniProtKB/TrEMBL;Acc:Q9ZUC4]";;
AT1G23760;AT1G23760;24.8822668592714;1.59216217500783;0.394162365612469;4.03935614840815;5.35981280138743e-05;0.0401469713166935;JP630;P92982;838987;"Polygalacturonase 1 beta-like protein 1 [Source:UniProtKB/Swiss-Prot;Acc:P92982]";PGL1;UniProtKB Gene Name
AT1G23870;AT1G23870;764.886465828926;0.758593970173365;0.179498427053605;4.22618728545638;2.37684191713553e-05;0.0235770208485543;ATTPS9;Q9LRA7;838998;"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRA7]";TPS9;UniProtKB Gene Name
AT1G27730;AT1G27730;968.141004474081;1.05077000265508;0.254747699894777;4.12474775273377;3.71141290545615e-05;0.0304126082735357;STZ;Q96289;839666;"Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]";ZAT10;UniProtKB Gene Name
AT1G73540;AT1G73540;532.563238688139;1.01959625816363;0.252897295420741;4.03166137647835;5.53839472719282e-05;0.0401469713166935;atnudt21;Q8VY81;843688;"Nudix hydrolase 21, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8VY81]";NUDT21;UniProtKB Gene Name
AT1G74930;AT1G74930;115.06670079475;2.23357138757957;0.441791950470214;5.05570865472379;4.28795520759924e-07;0.00115450131139461;ORA47;Q9S7L5;843832;"Ethylene-responsive transcription factor ERF018 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7L5]";ERF018;UniProtKB Gene Name
