"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tair_symbol","uniprotswissprot","entrezgene_id","description","external_gene_name","external_gene_source","batchcorr","refgroup","Affy_identifier","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017"
"AT1G08310",526.618669453738,-1.27771149267977,0.292444130394127,-4.36907894495198,1.24771659192261e-05,0.00702691298814598,"","",837351,"Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:A8MRK8]","","","r+p","em2",NA,NA,NA,NA,NA
"AT1G17710",775.805443378244,-1.77602906266791,0.270354916592328,-6.56925009929082,5.05692862030406e-11,1.04425576009279e-07,"","Q9FZ62",838347,"Inorganic pyrophosphatase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ62]","","","r+p","em2",NA,NA,NA,0.773,0.043
"AT1G23110",1049.07254839118,-2.05885997361762,0.323779398181491,-6.35883563062142,2.03288793062195e-10,3.77812221906089e-07,"","",838919,"Fold protein [Source:UniProtKB/TrEMBL;Acc:Q6DSU0]","","","r+p","em2",NA,NA,NA,NA,NA
"AT1G25560",601.642667241311,1.09876996462628,0.283914490430981,3.87007356672197,0.00010880251599074,0.0431368295371806,"TEM1","Q9C6M5",839143,"AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]","TEM1","UniProtKB Gene Name","r+p","em2","255742_at",0.430593729171501,0.00137919956071089,NA,NA
"AT1G61800",497.717167069241,-1.66456668602138,0.330257135720014,-5.0402141422088,4.65011226346973e-07,0.000432111682082925,"GPT2","Q94B38",842477,"glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]","GPT2","TAIR Gene Name","r+p","em2","264400_at",5.48732813978091,1.37877601696773e-06,2.331,0.00034
"AT1G68740",357.92161937092,-1.5857228697724,0.340130925108717,-4.66209554237255,3.13005809508446e-06,0.00232688518788579,"PHO1;H1","Q93ZF5",843205,"Phosphate transporter PHO1 homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q93ZF5]","PHO1-H1","UniProtKB Gene Name","r+p","em2","262231_at",-0.48815172880051,0.000860092993220718,NA,NA
"AT1G68840",1440.31731084444,0.93687634119861,0.228488958297155,4.10031341637167,4.12590976306138e-05,0.0193991734105843,"RAV2","P82280",843216,"TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]","RAV2","UniProtKB Gene Name","r+p","em2","260037_at",0.444795110008579,0.00242250337318006,NA,NA
"AT1G71030",1940.28364075037,0.945811473263608,0.241532058960551,3.91588378509242,9.00736321543452e-05,0.0380458739451933,"ATMYBL2","",843443,"At1g71030/F23N20_2 [Source:UniProtKB/TrEMBL;Acc:Q9C9A5]","ATMYBL2","TAIR Gene Name","r+p","em2","259751_at",-0.835296133871686,5.27712310367743e-05,NA,NA
"AT1G73010",1785.32374510696,-1.88793936400111,0.235306504580039,-8.02331991361903,1.02924836347331e-15,9.56429041757574e-12,"ATPS2","Q67YC0",843632,"Inorganic pyrophosphatase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q67YC0]","PS2","UniProtKB Gene Name","r+p","em2","262369_at",0.703442729923556,0.00023042644923539,NA,NA
"AT1G80920",3110.44450777339,0.982576924178287,0.221111120755334,4.44381504115091,8.83775883260301e-06,0.0052983789646428,"J8","Q9SAG8",844432,"Chaperone protein dnaJ 8, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SAG8]","ATJ8","UniProtKB Gene Name","r+p","em2","261901_at",-0.876617919458693,3.37069812788628e-06,NA,NA
